request_id,sub_trip_id,is_parent_request,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
8,8.0,False,BasicMultimodalRequest,1,900,900.0,2977,2986,,,,,111.94455948550961,1060.4065922814564,-2:t_wait:553;t_drive:180;fare:0;pt_source_station:s12;pt_target_station:s9;t_source_transfer:0;t_source_walk:17;t_target_walk:35;pt_journey_transfers:0,,,,,,,,RQ_MODAL_STATE.FIRSTLASTMILE
8,6.0,False,BasicMultimodalRequest,1,900,1535.972790714436,2980,2966,,,28,60,280.00167958811517,1989.2821103102237,-2:t_wait:237;t_drive:180;fare:0;pt_source_station:s15;pt_target_station:s1;t_source_transfer:0;t_source_walk:28;t_target_walk:60;pt_journey_transfers:0,,,-2.0,-1.0,1563.0,1980.0,,RQ_MODAL_STATE.FIRSTLASTMILE
10,,True,BasicMultimodalRequest,1,960,960.0,2977,2966,,,,,317.97001352699795,2805.055545850155,"-2:t_wait:493;t_drive:930;fare:0;pt_source_station:s12;pt_target_station:s1;t_source_transfer:0;t_source_walk:17;t_target_walk:60;pt_journey_transfers:0|((0, 1), (-2, 2)):t_wait:157.73948617960536;t_drive:301.5438905103115;fare:152;t_source_walk:28;t_pt_wait:23;t_pt_trip:180;t_target_walk:60;pt_journey_transfers:0;pt_source_station:s15;pt_target_station:s1",,"((0, 1), (-2, 2))",,,,,152.0,RQ_MODAL_STATE.FIRSTMILE
10,8.0,False,BasicMultimodalRequest,1,960,960.0,2977,2966,,,,,317.97001352699795,2805.055545850155,-2:t_wait:493;t_drive:930;fare:0;pt_source_station:s12;pt_target_station:s1;t_source_transfer:0;t_source_walk:17;t_target_walk:60;pt_journey_transfers:0,,,,,,,,RQ_MODAL_STATE.FIRSTMILE
10,2.0,False,BasicMultimodalRequest,1,960,1449.2833766899168,2980,2966,,,28,60,280.00167958811517,1989.2821103102237,-2:t_wait:23;t_drive:180;fare:0;pt_source_station:s15;pt_target_station:s1;t_source_transfer:0;t_source_walk:28;t_target_walk:60;pt_journey_transfers:0,,,-2.0,-1.0,1477.0,1680.0,,RQ_MODAL_STATE.FIRSTMILE
11,,True,BasicMultimodalRequest,1,1080,1080.0,2966,2981,,,,,208.07901915054015,2134.1665645579005,"-2:t_wait:60;t_drive:1080;fare:0;pt_source_station:s1;pt_target_station:s14;t_source_transfer:0;t_source_walk:60;t_target_walk:23;pt_journey_transfers:0|((-2, 3), (0, 4)):t_wait:339.2833766899166;t_drive:148.44863131008378;fare:100;t_source_walk:60;t_pt_wait:60;t_pt_trip:180;t_target_walk:28;pt_journey_transfers:0;pt_source_station:s1;pt_target_station:s15",,"((-2, 3), (0, 4))",,,,,100.0,RQ_MODAL_STATE.LASTMILE
11,8.0,False,BasicMultimodalRequest,1,1080,1080.0,2966,2981,,,,,208.07901915054015,2134.1665645579005,-2:t_wait:60;t_drive:1080;fare:0;pt_source_station:s1;pt_target_station:s14;t_source_transfer:0;t_source_walk:60;t_target_walk:23;pt_journey_transfers:0,,,,,,,,RQ_MODAL_STATE.LASTMILE
11,3.0,False,BasicMultimodalRequest,1,1080,1080.0,2966,2980,,,60,28,183.90759926902774,1524.5518896897763,-2:t_wait:60;t_drive:180;fare:0;pt_source_station:s1;pt_target_station:s15;t_source_transfer:0;t_source_walk:60;t_target_walk:28;pt_journey_transfers:0,,,-2.0,-1.0,1140.0,1380.0,,RQ_MODAL_STATE.LASTMILE
14,,True,BasicMultimodalRequest,1,1200,1200.0,2966,2981,,,,,208.07901915054015,2134.1665645579005,"-2:t_wait:240;t_drive:1020;fare:0;pt_source_station:s1;pt_target_station:s14;t_source_transfer:0;t_source_walk:60;t_target_walk:23;pt_journey_transfers:2|((-2, 3), (0, 4)):t_wait:508;t_drive:148.44863131008378;fare:100;t_source_walk:60;t_pt_wait:240;t_pt_trip:180;t_target_walk:28;pt_journey_transfers:0;pt_source_station:s1;pt_target_station:s15",,"((-2, 3), (0, 4))",,,,,100.0,RQ_MODAL_STATE.LASTMILE
14,8.0,False,BasicMultimodalRequest,1,1200,1200.0,2966,2981,,,,,208.07901915054015,2134.1665645579005,-2:t_wait:240;t_drive:1020;fare:0;pt_source_station:s1;pt_target_station:s14;t_source_transfer:0;t_source_walk:60;t_target_walk:23;pt_journey_transfers:2,,,,,,,,RQ_MODAL_STATE.LASTMILE
14,3.0,False,BasicMultimodalRequest,1,1200,1200.0,2966,2980,,,60,28,183.90759926902774,1524.5518896897763,-2:t_wait:240;t_drive:180;fare:0;pt_source_station:s1;pt_target_station:s15;t_source_transfer:0;t_source_walk:60;t_target_walk:28;pt_journey_transfers:0,,,-2.0,-1.0,1260.0,1680.0,,RQ_MODAL_STATE.LASTMILE
15,,True,BasicMultimodalRequest,1,1320,1320.0,2993,2980,,,,,181.60664924624365,2149.234278873738,"-2:t_wait:933;t_drive:600;fare:0;pt_source_station:s2;pt_target_station:s15;t_source_transfer:0;t_source_walk:27;t_target_walk:28;pt_journey_transfers:2|((0, 1), (-2, 2)):t_wait:97.70791002278406;t_drive:167.53417912007308;fare:112;t_source_walk:60;t_pt_wait:125;t_pt_trip:180;t_target_walk:28;pt_journey_transfers:0;pt_source_station:s1;pt_target_station:s15",,"((0, 1), (-2, 2))",,,,,112.0,RQ_MODAL_STATE.FIRSTMILE
15,8.0,False,BasicMultimodalRequest,1,1320,1320.0,2993,2980,,,,,181.60664924624365,2149.234278873738,-2:t_wait:933;t_drive:600;fare:0;pt_source_station:s2;pt_target_station:s15;t_source_transfer:0;t_source_walk:27;t_target_walk:28;pt_journey_transfers:2,,,,,,,,RQ_MODAL_STATE.FIRSTMILE
15,2.0,False,BasicMultimodalRequest,1,1320,1615.2420891428571,2966,2980,,,60,28,183.90759926902774,1524.5518896897763,-2:t_wait:125;t_drive:180;fare:0;pt_source_station:s1;pt_target_station:s15;t_source_transfer:0;t_source_walk:60;t_target_walk:28;pt_journey_transfers:0,,,-2.0,-1.0,1675.0,1980.0,,RQ_MODAL_STATE.FIRSTMILE
16,,True,BasicMultimodalRequest,1,1440,1440.0,2977,2967,,,,,299.46976166833724,3003.7192892651756,"-2:t_wait:13;t_drive:810;fare:0;pt_source_station:s12;pt_target_station:s2;t_source_transfer:0;t_source_walk:17;t_target_walk:27;pt_journey_transfers:0|((0, 5), (-2, 6), (0, 7)):t_wait:1243.525768574321;t_drive:351.6421735087936;fare:252;t_source_walk:28;t_pt_wait:297;t_pt_trip:180;t_target_walk:60;pt_journey_transfers:0;pt_source_station:s15;pt_target_station:s1;t_wait_0:43.52576857432109;t_drive_0:218.55199336745432;t_wait_1:1200;t_drive_1:133.09018014133926",,"((0, 5), (-2, 6), (0, 7))",,,,,252.0,RQ_MODAL_STATE.FIRSTLASTMILE
16,8.0,False,BasicMultimodalRequest,1,1440,1440.0,2977,2967,,,,,299.46976166833724,3003.7192892651756,-2:t_wait:13;t_drive:810;fare:0;pt_source_station:s12;pt_target_station:s2;t_source_transfer:0;t_source_walk:17;t_target_walk:27;pt_journey_transfers:0,,,,,,,,RQ_MODAL_STATE.FIRSTLASTMILE
16,6.0,False,BasicMultimodalRequest,1,1440,2075.972790714436,2980,2966,,,28,60,280.00167958811517,1989.2821103102237,-2:t_wait:297;t_drive:180;fare:0;pt_source_station:s15;pt_target_station:s1;t_source_transfer:0;t_source_walk:28;t_target_walk:60;pt_journey_transfers:0,,,-2.0,-1.0,2103.0,2580.0,,RQ_MODAL_STATE.FIRSTLASTMILE
17,,True,BasicMultimodalRequest,1,1500,1500.0,2984,2966,,,,,290.4992461013191,2150.5512839694975,"-2:t_wait:530;t_drive:810;fare:0;pt_source_station:s11;pt_target_station:s1;t_source_transfer:0;t_source_walk:40;t_target_walk:60;pt_journey_transfers:2|((0, 1), (-2, 2)):t_wait:121.50720034751635;t_drive:230.44256994177545;fare:160;t_source_walk:28;t_pt_wait:191;t_pt_trip:180;t_target_walk:60;pt_journey_transfers:0;pt_source_station:s15;pt_target_station:s1",,"((0, 1), (-2, 2))",,,,,160.0,RQ_MODAL_STATE.FIRSTMILE
18,,True,BasicMultimodalRequest,1,1500,1500.0,2989,2977,,,,,200.30021679086175,2168.7248732571807,-2:t_wait:26;t_drive:540;fare:0;pt_source_station:s6;pt_target_station:s12;t_source_transfer:0;t_source_walk:64;t_target_walk:17;pt_journey_transfers:0,,-2,,,,,0.0,RQ_MODAL_STATE.FIRSTLASTMILE
19,,True,BasicMultimodalRequest,1,1500,1500.0,2989,2975,,,,,126.96715614988648,1557.6160345823869,-2:t_wait:26;t_drive:360;fare:0;pt_source_station:s6;pt_target_station:s10;t_source_transfer:0;t_source_walk:64;t_target_walk:46;pt_journey_transfers:0,,-2,,,,,0.0,RQ_MODAL_STATE.FIRSTLASTMILE
17,8.0,False,BasicMultimodalRequest,1,1500,1500.0,2984,2966,,,,,290.4992461013191,2150.5512839694975,-2:t_wait:530;t_drive:810;fare:0;pt_source_station:s11;pt_target_station:s1;t_source_transfer:0;t_source_walk:40;t_target_walk:60;pt_journey_transfers:2,,,,,,,,RQ_MODAL_STATE.FIRSTMILE
17,2.0,False,BasicMultimodalRequest,1,1500,1881.9497702892918,2980,2966,,,28,60,280.00167958811517,1989.2821103102237,-2:t_wait:191;t_drive:180;fare:0;pt_source_station:s15;pt_target_station:s1;t_source_transfer:0;t_source_walk:28;t_target_walk:60;pt_journey_transfers:0,,,-2.0,-1.0,1909.0,2280.0,,RQ_MODAL_STATE.FIRSTMILE
18,8.0,False,BasicMultimodalRequest,1,1500,1500.0,2989,2977,,,64,17,200.30021679086175,2168.7248732571807,-2:t_wait:26;t_drive:540;fare:0;pt_source_station:s6;pt_target_station:s12;t_source_transfer:0;t_source_walk:64;t_target_walk:17;pt_journey_transfers:0,,,-2.0,-1.0,1564.0,2130.0,,RQ_MODAL_STATE.FIRSTLASTMILE
18,5.0,False,BasicMultimodalRequest,1,1500,1500.0,2989,2966,,,,,292.81029431785976,2489.766419107337,,,,,,,,,RQ_MODAL_STATE.FIRSTLASTMILE
18,6.0,False,BasicMultimodalRequest,1,1500,2281.9344120450037,2966,2980,,,,,183.90759926902774,1524.5518896897763,,,,,,,,,RQ_MODAL_STATE.FIRSTLASTMILE
18,7.0,False,BasicMultimodalRequest,1,1500,2608.0,2980,2977,,,,,251.03528091826004,1625.839564460069,,,,,,,,,RQ_MODAL_STATE.FIRSTLASTMILE
19,8.0,False,BasicMultimodalRequest,1,1500,1500.0,2989,2975,,,64,46,126.96715614988648,1557.6160345823869,-2:t_wait:26;t_drive:360;fare:0;pt_source_station:s6;pt_target_station:s10;t_source_transfer:0;t_source_walk:64;t_target_walk:46;pt_journey_transfers:0,,,-2.0,-1.0,1564.0,1950.0,,RQ_MODAL_STATE.FIRSTLASTMILE
19,5.0,False,BasicMultimodalRequest,1,1500,1500.0,2989,2966,,,,,292.81029431785976,2489.766419107337,,,,,,,,,RQ_MODAL_STATE.FIRSTLASTMILE
