operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,2,default_vehtype,route,False,180,334.03520157294645,2967;-1;-1,2966;-1;-1,1352.74125658498,0.7204049218253182,0.7202696476996597,0.0,,0,,0,,,2967;3896;5466;7451;4482;6930;7615;3488;4485;5469;2998;901;1083;1355;1961;1962;1033;1559;1958;2907;636;1954;1949;186;333;2164;695;694;1041;1623;1383;2333;2966,2967:180;3896:186.0795464347745;5466:193.6114664347745;7451:194.5957064347745;4482:197.26244243477453;6930:198.57817043477453;7615:202.47452243477454;3488:203.79867443477454;4485:208.35332243477455;5469:208.71454643477455;2998:209.12300243477455;901:210.36853043477456;1083:213.15896243477457;1355:226.84825043477457;1961:227.83097843477458;1962:228.7698584347746;1033:229.97931443477458;1559:236.36341043477458;1958:243.71043443477458;2907:244.33409843477457;636:247.14922643477456;1954:247.75993043477456;1949:256.66006643477454;186:258.22621043477454;333:258.86593043477455;2164:259.4823224347746;695:264.1896104347746;694:267.3583304347746;1041:268.1772584347746;1623:272.56051557763175;1383:283.6459441490603;2333:323.799829863346;2966:334.03520157294645
0,1,default_vehtype,waiting,False,180,360.0,2981;-1;-1,2981;-1;-1,0.0,0.8540739113090524,0.8540739113090524,0.0,,0,,0,,,,
0,2,default_vehtype,boarding,True,334.03520157294645,364.03520157294645,2966;-1;-1,2966;-1;-1,0.0,0.7202696476996597,0.7202696476996597,0.0,,0,1,1,1,,,
0,4,default_vehtype,route,False,300.0,368.4511209628069,2974;-1;-1,2976;-1;-1,667.1321987648755,0.7554138025988315,0.755347089378955,0.0,,0,,0,,,2974;6479;3091;4274;880;3109;3874;4306;429;4313;68;7318;7325;3011;4;4345;7330;2976,2974:300;6479:300.5005783334672;3091:313.8223063334672;4274:314.9652343334672;880:315.5565703334672;3109:317.40711433346723;3874:323.27139433346724;4306:335.38695433346726;429:336.78927433346723;4313:337.9722343334672;68:343.5705943334672;7318:350.23863433346725;7325:353.5653943334672;3011:357.57603433346725;4:362.36115433346725;4345:364.40463433346724;7330:365.6076343334672;2976:368.4511209628069
0,4,default_vehtype,boarding,True,368.4511209628069,398.4511209628069,2976;-1;-1,2976;-1;-1,0.0,0.755347089378955,0.755347089378955,0.0,,0,2_1,1,2_1,,,
0,1,default_vehtype,route,False,360.0,492.5866496081764,2981;-1;-1,2977;-1;-1,993.5818895919446,0.8540739113090524,0.8539745531200933,0.0,,0,,0,,,2981;6320;7278;2411;1661;7283;796;751;4635;6299;4102;4325;7285;1218;7334;7010;820;7498;276;2915;2661;7517;6201;7314;7529;7535;2931;2929;2927;2802;2977,2981:360;6320:363.37311885414516;7278:366.89187885414515;2411:372.72699885414517;1661:378.5268388541452;7283:379.5758788541452;796:388.3683988541452;751:390.2762788541452;4635:395.38491885414516;6299:401.3439988541452;4102:403.7033188541452;4325:408.9944788541452;7285:409.9113988541452;1218:411.0345988541452;7334:418.6157188541452;7010:421.5231988541452;820:423.5041588541452;7498:423.9721588541452;276:424.08375885414523;2915:435.42975885414523;2661:442.66311885414524;7517:449.97507885414524;6201:450.83619885414527;7314:457.7315188541453;7529:464.9469988541453;7535:470.00654171128815;2931:473.65797028271675;2929:477.30939885414534;2927:482.3689417112882;2802:489.5844217112882;2977:492.5866496081764
0,1,default_vehtype,boarding,True,492.5866496081764,522.5866496081765,2977;-1;-1,2977;-1;-1,0.0,0.8539745531200933,0.8539745531200933,0.0,,0,4_5,1,4_5,,,
0,1,default_vehtype,route,False,522.5866496081765,605.9911515087203,2977;-1;-1,2982;-1;-1,577.1723729807225,0.8539745531200933,0.8539168358827952,0.0,,0,4_5,1,,,2977;6202;7516;7037;7512;3274;2902;3901;7011;7336;4365;7288;1182;1001;6296;6301;2298;2295;2293;4102;4325;7285;1218;2982,2977:522.5866496081765;6202:526.4797417112883;7516:527.3408617112883;7037:534.6528217112883;7512:541.8861817112883;3274:553.2321817112883;2902:553.3437817112882;3901:553.8117817112882;7011:555.7927417112882;7336:558.7002217112881;4365:566.2813417112882;7288:567.4045417112882;1182:568.3214617112882;1001:573.6126217112882;6296:575.9719417112882;6301:580.9142274255739;2298:585.1961702827168;2295:589.4781131398597;2293:594.4203988541454;4102:596.7797188541455;4325:602.0708788541455;7285:602.9877988541455;1218:604.1109988541455;2982:605.9911515087203
0,1,default_vehtype,boarding,True,605.9911515087203,635.9911515087203,2982;-1;-1,2982;-1;-1,0.0,0.8539168358827952,0.8539168358827952,0.0,,0,4_5;3,2,3,,,
0,4,default_vehtype,route,False,398.4511209628069,617.1611355978097,2976;-1;-1,2980;-1;-1,1779.1452794361687,0.755347089378955,0.7551691748510114,0.0,,0,2_1,1,,,2976;7557;7316;7531;2802;2251;7515;7037;7512;3274;2902;3901;7011;7336;4365;7288;1182;1001;6296;1434;3820;3877;2787;4993;6537;7281;2307;3549;6384;4032;1804;4811;5237;608;459;2416;4011;5246;363;366;2314;2877;1748;1743;1157;2058;2092;915;2980,2976:398.4511209628069;7557:403.4414743334672;7316:410.8364743334672;7531:418.3914343334672;2802:425.6069143334672;2251:432.50223433346724;7515:433.36335433346727;7037:440.67531433346727;7512:447.9086743334673;3274:459.2546743334673;2902:459.3662743334673;3901:459.8342743334673;7011:461.8152343334673;7336:464.7227143334673;4365:472.3038343334673;7288:473.4270343334673;1182:474.3439543334673;1001:479.6351143334673;6296:481.9944343334673;1434:487.9535143334673;3820:493.0621543334673;3877:494.97003433346725;2787:503.7625543334673;4993:504.81159433346727;6537:510.6114343334673;7281:516.4465543334672;2307:519.9653143334673;3549:525.6025543334673;6384:525.8643943334673;4032:529.0860343334673;1804:530.0019463334673;4811:531.6845863334673;5237:536.4250663334674;608:545.2911463334674;459:545.6209063334674;2416:547.8345463334674;4011:548.4986743334674;5246:554.4238423334674;363:561.3325303334674;366:562.7376103334674;2314:563.8824823334674;2877:577.0535863334674;1748:578.1721063334674;1743:585.9265063334674;1157:590.6656491906102;2058:596.4554777620388;2092:599.8446206191816;915:604.9627920477529;2980:617.1611355978097
